x1,x2,x3,x4,x5,x6
INT_TYPE,STR_NAME,INT_BUILDING_REMOVABLE,INT_PRODUCATION_BUILDING,INT_AREA,STR_LIST_NAME
TOWNHALL,市政厅-主城,NO,NO,0.0,BuildingTownhall
GATE,大门-城墙,NO,NO,0.0,BuildingGate
SMELTER,冶炼厂-伐木场,YES,YES,2.0,BuildingSmelter
OIL_FIELD,油田-农田,YES,YES,1.0,BuildingOilField
REPAIR_SHOP,维修厂-医馆,YES,NO,3.0,BuildingRepairShop
POWER_PLANT,发电厂-征兵处,YES,NO,4.0,BuildingPowerPlant
COMMAND_CENTER,指挥中心-校场,NO,NO,0.0,BuildingCommandCenter
COLLEGE,学院-太史院,NO,NO,0.0,BuildingCollege
EMBASSY,使馆-使馆,NO,NO,0.0,BuildingEmbassy
RADAR,雷达-烽火台,NO,NO,0.0,BuildingRadar
SUPPLY_CENTER,补给中心-祭坛,NO,NO,0.0,BuildingSupplyCenter
RUBBER_PLANT,橡胶厂-铁矿,YES,YES,5.0,BuildingRubberPlant
AMMO_PLANT,弹药厂-宝石矿,YES,YES,6.0,BuildingAmmoPlant
BUNKER,碉堡-箭塔,NO,NO,0.0,BuildingBunker
WAREHOUSE,仓库-仓库,NO,NO,0.0,BuildingWarehouse
MOBILE_TROOPS,战车工厂-步兵营,NO,NO,0.0,BuildingMobileTroops
TANK_TROOPS,坦克工厂-射手营,NO,NO,0.0,BuildingTankTroops
ARTILLERY_TROOPS,火炮工厂-骑兵营,NO,NO,0.0,BuildingArtilleryTroops
AIR_TROOPS,战机工厂-战车工坊,NO,NO,0.0,BuildingAirTroops
DEFENSE_CENTER,防御中心-陷阱工坊,NO,NO,0.0,BuildingDefenseCenter
INTELLIGENCE,军情处-战争大厅,NO,NO,0.0,BuildingIntelligence
TRADE_CENTER,贸易中心-集市,NO,NO,0.0,BuildingTradeCenter
CONSCRIPTION,征兵处-召唤,NO,NO,0.0,BuildingConscription
JUNKYARD,回收站-祭坛,NO,NO,0.0,BuildingJunkyard
ARMORY,军械库-铁匠铺,NO,NO,0.0,BuildingArmory
SECRET_LAB,机密实验室-创造法阵,NO,NO,0.0,BuildingSecretLab
TRAINING_CAMP,训练营-先知之树,NO,NO,0.0,BuildingTrainingCamp
COPTER,直升机-战役,NO,NO,0.0,BuildingCopter
FIGHT_CLUB,搏击俱乐部-竞技场,NO,NO,0.0,BuildingFightClub
RAILWAY_STATION,火车站-活动副本,NO,NO,0.0,BuildingRailwayStation
WARSHIP,战舰-远征,NO,NO,0.0,BuildingWarship
TRUCK,运输车-每日奖励,NO,NO,0.0,BuildingTruck
CASINO,赌场-小游戏,NO,NO,0.0,BuildingCasino
BLACK_MARKET,黑市-云游商人,NO,NO,0.0,BuildingBlackMarket
CENOTAPH,纪念碑-排行榜,NO,NO,0.0,BuildingCenotaph
